"","SITEVISITID","REGION","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","ROUNDID","MISSIONID","OBS_YEAR","DATE_","HABITAT_CODE","LATITUDE","LONGITUDE","MIN_DEPTH","MAX_DEPTH","tmp"
"1",38107,"MARIAN","Guam","GUA-00020","Forereef","Mid",180,"RA2201_LEG3",2022,"04/12/2022 10.27.00","",13.52897,144.800164,NA,NA,300
"2",38108,"MARIAN","Guam","GUA-00020","Forereef","Mid",180,"RA2201_LEG3",2022,"04/12/2022 12.29.14","",13.52886,144.80028,NA,NA,300
"3",38225,"MARIAN","Guam","GUA-00021","Forereef","Mid",180,"RA2201_LEG3",2022,"04/18/2022 11.08.27","",13.241219,144.704512,NA,NA,300
"4",38365,"MARIAN","Saipan","SAI-02004","","",180,"RA2201_LEG3",2022,"04/26/2022 09.22.30","",15.237506,145.722519,NA,NA,300
"5",38464,"MARIAN","Guam","GUA-02355","Forereef","Shallow",180,"RA2201_LEG3",2022,"05/01/2022 12.57.32","",13.475892,144.863513,NA,NA,300
"6",38465,"MARIAN","Guam","GUA-02354","","",180,"RA2201_LEG3",2022,"05/01/2022 10.34.26","",13.47371,144.865967,NA,NA,300
"7",38466,"MARIAN","Guam","GUA-00022","Forereef","Mid",180,"RA2201_LEG3",2022,"05/01/2022 12.32.59","",13.475149,144.864889,NA,NA,310
"8",52129,"SAMOA","Tau","TAU-01309","Forereef","Mid",191,"RA2301_LEG7",2023,"08/06/2023 15.00.00","AGR",-14.25198,-169.41893,46,50,300
"9",52171,"SAMOA","Tau","TAU-01312","Forereef","Deep",191,"RA2301_LEG7",2023,"08/08/2023 10.35.26","AGR",-14.257421,-169.435461,61,67,300
"10",52172,"SAMOA","Tau","TAU-01308","Forereef","Mid",191,"RA2301_LEG7",2023,"08/08/2023 12.34.43","AGR",-14.255494,-169.470651,27,31,300
